id,type,year,pub_name_en,pub_name_tr,main_lang,keywords_en,keywords_tr,n_references
1.1.,book,2024,TAP: a comprehensive guide to test and item analysis,tüm yönleri ile TAP (test analysis program): test ve madde analizi,TR,test analysis & item analysis & options analysis & tap,test analizi & madde analizi & seçenek analizi & tap,25
1.2.,book,2024,introduction to r programming language,r programlama diline giriş,TR,r & r programming language & software & data science & data analysis,r & r programlama dili & yazılım & veri bilimi & veri analizi,6
2.1.,book chapter,-,non-IRT-based pioneering methods in detecting DIF,DMF belirlemede MTK tabanlı olmayan öncü yöntemler,TR,differential item functioning & Angoff's TID & Breslow-Day & standardization & test and item bias,değişen madde fonksiyonu & Angoff'un DMG yöntemi & Breslow-Day & standardizasyon & test ve madde yanlılığı,?
3.1.,article,2020,investigation of measurement invariance of science motivation and self-efficacy model: PISA 2015 Turkey sample,fen motivasyonu ve özyeterliği modeli'nin ölçme değişmezliğinin incelenmesi: PISA 2015 Türkiye örneği,EN,structural equation modeling & measurement invariance & instrumental motivation & science self-efficacy,yapısal eşitlik modeli & ölçme değişmezliği & araçsal güdülenme & fen özyeterliği,75
3.2.,article,2024,the effect of sample weighting on hierarchical linear modeling in the large-scale assessment data,geniş ölçekli test verilerinde örneklem ağırlıklandırmalarının hiyerarşik doğrusal modellemeye etkisi,EN,large-scale assessment & hierarchical linear modeling & weighting & TIMSS 2019,geniş ölçekli test & hiyerarşik doğrusal modelleme & ağırlıklandırma & TIMSS 2019,42
3.3.,article,2025,the use of Angoff���s Transformed Item Difficulties Method in detecting differential item functioning,Angoff'un Dönüştürülmüş Madde Güçlükleri Yöntemi'nin değişen madde fonksiyonu belirlemede kullanımı,TR,differential item functioning & transformed item difficulties & difr & delta plot & DIF analysis,değişen madde fonksiyonu & dönüştürülmüş madde güçlükleri & difr & delta yöntemi & DMF analizi,83
3.4.,article,2026,structural adaptability of IgA and IgM supports broad SARS-CoV-2 variant neutralization,IgA ve IgM'nin yapısal esnekliği SARS-CoV-2 varyantlarının geniş bir yelpazede nötralize edilmesini mümkün kılıyor,EN,IgA & IgG & IgM & mAb & SARS-CoV2,IgA & IgG & IgM & mAb & SARS-CoV2,40
3.5.,article,2026,difficulties and solutions in finding the appropriate statistical technique in research,araştırmalarda uygun istatistiksel tekniğin belirlenmesinde karşılaşılan güçlükler ve çözüm önerileri,EN,data analysis & statistical competency & methodological competency & hypothesis test,veri analizi & istatistik yetkinliği & yöntembilim yetkinliği & hipotez testi,32
4.1.,paper,2022,an examination of between-school differences in eighth-grade students��� mathematics achievement across different countries,farklı ülkelerde 8. sınıf öğrencilerinin matematik başarısı açısından okullar arası farkların incelenmesi,TR,mathematics achievement & TIMSS 2019 & hierarchical linear modeling & 8th grade & between-schools differences,matematik başarısı & TIMSS 2019 & hiyerarşik doğrusal modelleme & 8. sınıf & okullar arası fark,19
4.2.,paper,2022,between-school differences in mathematics achievement: TIMSS 2019,matematik başarısı açısından okullar arası farklar: TIMSS 2019,TR,TIMSS 2019 & 8th grade & mathematics achievement & hierarchical linear modeling & between-schools differences,TIMSS 2019 & 8. sınıf & matematik başarısı & hiyerarşik doğrusal modelleme & okullar arası fark,23
4.3.,paper,2023,between-school differences in science achievement: TIMSS 2019,fen başarısı açısından okullar arası farklar: TIMSS 2019,TR,TIMSS 2019 & 8th grade & science achievement & hierarchical linear modeling & between-schools differences,TIMSS 2019 & 8. sınıf & fen başarısı & hiyerarşik doğrusal modelleme & okullar arası fark,38
4.4.,paper,2023,how rational is it to use Angoff���s Transformed Item Difficulties method in DIF detection?,DMF belirlemede Angoff'un Dönüştürülmüş Madde Güçlükleri yönteminin kullanılması ne kadar mantıklı?,TR,differential item functioning & transformed item difficulties & difr & delta plot & DIF analysis,değişen madde fonksiyonu & dönüştürülmüş madde güçlükleri & difr & delta yöntemi & DMF inceleme,152
4.5.,paper,2023,the impact of sample weights on hierarchical linear modeling results in large-scale assessment data,geniş ölçekli testlerin verilerinde hiyerarşik doğrusal modellemede örneklem ağırlıklandırmaları sonuçları nasıl etkiliyor?,TR,TIMSS 2019 & large-scale tests & hierarchical linear modeling & weighting,TIMSS 2019 & geniş ölçekli testler & hiyerarşik doğrusal modelleme & ağırlıklandırma,0
4.6.,paper,2024,opinions of graduate students about the challenges they encounter in determining and using statistical techniques,lisansüstü öğrencilerinin istatistiksel teknik belirleme ve kullanmada karşılaştıkları güçlüklere yönelik görüşleri,TR,statistical competence & statistical methods & data analysis & data set,istatistik yeterliliği & istatistiksel yöntem & veri analizi & veri seti,22
4.7.,paper,2024,faculty members' perspectives on the challenges faced by students and researchers in statistical data analysis and determining appropriate statistical techniques,öğretim üyeleri perspektifinden öğrencilerin ve araştırmacıların istatistiksel veri analizlerinde ve uygun istatistiksel tekniği belirlemede yaşadıkları güçlükler,TR,statistical competence & statistical methods and techniques & academic consultancy,istatistik yeterliliği & istatistiksel yöntem ve teknikler & akademik danışma ve yönlendirme,12
4.8.,paper,2024,a web-based test and item analysis application for corporate universities,kurumsal akademiler için web tabanlı bir test ve madde analizi uygulaması,EN,item analysis & test analysis & classical test theory & R shiny & web application,madde analizi & test analizi & klasik test teorisi & R shiny & web aplikasyonu,0
4.9.,paper,2025,a study on classification of differential item functioning detection techniques for dichotomously scored items,ikili puanlanan maddeler için değişen madde fonksiyonu belirleme tekniklerinin sınıflandırılmasına yönelik bir çalışma,TR,differential item functioning & item bias & DIF detection & DIF techniques,değişen madde fonksiyonu & madde yanlılığı & DMF belirleme & DMF teknikleri,39
4.10.,paper,2025,evaluation of the architectural structure and usability of the statistical technique advisor application based on expert opinions,istatistiksel teknik tanımlayıcısı uygulamasının mimari yapısı ve kullanışlılığının uzman görüşlerine göre değerlendirilmesi,EN,statistical techniques & variable structure & data analysis & web-based application,istatistiksel teknikler & veri yapisi & veri analizi & web-tabanli uygulama,6
4.11.,paper,2025,use of non-IRT-based early pioneer methods in detecting differential item functioning,MTK tabanlı olmayan erken donem öncü yöntemleri değişen maddde fonksiyonu belirlemede kullanımı,EN,differential item functioning & transformed item difficulties & breslow-day test & standardization method & DIF detection,değişen madde fonksiyonu & dönüştürülmüş madde güçlükleri & breslow-day & standardizasyon yöntemi & DMF belirleme,17
5.1.,thesis,2019,investigation of measurement invariance of science motivation and self-efficacy model: PISA 2015 Turkey sample,fen motivasyonu ve özyeterliği modeli'nin ölçme değişmezliğinin incelenmesi: PISA 2015 Türkiye örneği,TR,structural equation modeling & measurement invariance & science literacy & instrumental motivation & science self-efficacy,yapısal eşitlik modeli & ölçme değişmezliği & fen okuryazarlığı & araçsal güdülenme & fen özyeterliği,124
6.1.,report,2024,panel report: determining the appropriate statistical technique in research,panel raporu: araştırmalarda uygun istatistiksel tekniğin belirlenmesi,TR,statistical technique advisor & statistics & data analysis & statistical techniques & statistical competence,istatistiksel teknik tanımlayıcısı & istatistik & veri analizi & istatistiksel teknikler & istatistik yeterliliği,4
6.2.,report,2024,expert-participatory workshop report: the use of the web-based ���Statistical Technique Advisor ��� STA��� application in determining appropriate statistical techniques in research,uzman katılımlı çalıştay raporu: araştırmalarda uygun istatistiksel tekniğin belirlenmesinde web tabanlı 'istatistiksel teknik tanımlayıcısı - STA' uygulamasının kullanımı,TR,statistical technique advisor & statistics & data analysis & statistical techniques & statistical competence,istatistiksel teknik tanımlayıcısı & istatistik & veri analizi & istatistiksel teknikler & istatistik yeterliliği,0
6.3.,report,2025,project closing panel: the use of the web-based ���Statistical Technique Advisor��� application in determining appropriate statistical techniques in research,proje kapanış paneli: araştırmalarda uygun istatistiksel tekniğin belirlenmesinde web tabanli 'istatistiksel teknik tanımlayıcısı' uygulamasının kullanımı,TR,statistical technique advisor & statistics & data analysis & statistical techniques & statistical competence,istatistiksel teknik tanımlayıcısı & istatistik & veri analizi & istatistiksel teknikler & istatistik yeterliliği,0

